indice_1,indice_2,similitud,texto_1,texto_2
12,790,0.9781341153630048,Antes los proyectos de vida eran a largo plazo; hoy parece que nuestra identidad cambia tan rápido c...,"Muchos jóvenes sienten que el futuro es incierto, no por falta de oportunidades, sino por exceso de ..."
14,1672,0.9864666309224714,A veces siento que la presión de mostrar una vida perfecta en redes sociales nos roba la oportunidad...,"La cultura actual parece obsesionada con lo nuevo y lo inmediato, dejando poco espacio para la refle..."
20,2290,0.9819752963286362,Estamos tan acostumbrados a la recompensa instantánea que cualquier proyecto que requiera paciencia ...,La presión por ser productivo todo el tiempo está quemando a una generación entera. No todo en la vi...
21,1104,0.9613914531322432,La IA puede predecir nuestras emociones con una precisión inquietante. ¿Qué queda entonces de nuestr...,La presión por ser productivo todo el tiempo está quemando a una generación entera. No todo en la vi...
25,484,0.8008071129286686,A veces siento que la presión de mostrar una vida perfecta en redes sociales nos roba la oportunidad...,El ruido constante de las redes sociales hace difícil encontrar silencio interior. ¿Cómo pensar prof...
25,731,0.8008141978264828,A veces siento que la presión de mostrar una vida perfecta en redes sociales nos roba la oportunidad...,A veces siento que la presión de mostrar una vida perfecta en redes sociales nos roba la oportunidad...
25,1077,0.8008071129286686,A veces siento que la presión de mostrar una vida perfecta en redes sociales nos roba la oportunidad...,A veces siento que la presión de mostrar una vida perfecta en redes sociales nos roba la oportunidad...
25,1840,0.8108717569996884,A veces siento que la presión de mostrar una vida perfecta en redes sociales nos roba la oportunidad...,Estamos tan acostumbrados a la recompensa instantánea que cualquier proyecto que requiera paciencia ...
25,2467,0.812762609309015,A veces siento que la presión de mostrar una vida perfecta en redes sociales nos roba la oportunidad...,La IA puede predecir nuestras emociones con una precisión inquietante. ¿Qué queda entonces de nuestr...
27,2808,0.9850151940141668,La presión por ser productivo todo el tiempo está quemando a una generación entera. No todo en la vi...,"Con tanta información, el desafío ya no es aprender, sino filtrar. El exceso de conocimiento puede s..."
35,2373,0.9791332440943542,Muchos jóvenes tienen una sensación de vacío difícil de explicar. Vivimos en un mundo hiperconectado...,"Con tanta información, el desafío ya no es aprender, sino filtrar. El exceso de conocimiento puede s..."
36,3959,0.9792065284169783,Todo se mueve tan rápido que incluso los recuerdos parecen caducar. La cultura de lo efímero borra c...,Muchos jóvenes tienen una sensación de vacío difícil de explicar. Vivimos en un mundo hiperconectado...
38,434,0.9999999999999997,No sé si la tecnología nos está liberando del esfuerzo o si nos está convirtiendo en espectadores pa...,Estamos tan acostumbrados a la recompensa instantánea que cualquier proyecto que requiera paciencia ...
40,1811,0.9838630518539062,El ruido constante de las redes sociales hace difícil encontrar silencio interior. ¿Cómo pensar prof...,La relación entre la inteligencia artificial y nuestra autonomía se está volviendo difusa. ¿Hasta qu...
43,2084,1.0,No sé si la tecnología nos está liberando del esfuerzo o si nos está convirtiendo en espectadores pa...,A veces siento que la presión de mostrar una vida perfecta en redes sociales nos roba la oportunidad...
46,104,1.0000000000000009,Todo se mueve tan rápido que incluso los recuerdos parecen caducar. La cultura de lo efímero borra c...,Antes los proyectos de vida eran a largo plazo; hoy parece que nuestra identidad cambia tan rápido c...
48,154,0.8186153819315596,Los algoritmos parecen conocer mis gustos mejor que yo mismo. Es inquietante pensar si realmente sig...,Los algoritmos parecen conocer mis gustos mejor que yo mismo. Es inquietante pensar si realmente sig...
48,648,0.8006679003653149,Los algoritmos parecen conocer mis gustos mejor que yo mismo. Es inquietante pensar si realmente sig...,Los algoritmos parecen conocer mis gustos mejor que yo mismo. Es inquietante pensar si realmente sig...
